scientificName,commonName
"Cephalopholis fulva (Linnaeus, 1758)",Butterfish
"Agaricia lamarcki Milne Edwards & Haime, 1851",Lamarck's sheet coral
"Cladocora debilis Milne Edwards & Haime, 1849",Thin tube coral
"Pristigenys alta (Gill, 1862)",Short Bigeye
"Pseudopterogorgia acerosa (Pallas, 1766)",Purple sea plume
"Elacatinus horsti (Metzelaar, 1922)",Yellowline Goby
"Malacoctenus triangulatus Springer, 1959",Saddled blenny
"Acanthemblemaria spinosa Metzelaar, 1919",Spinyhead Blenny
"Nicella guadalupensis (Duchassaing & Michelotti, 1860)",Guadalupe sea pen
"Sphoeroides testudineus (Linnaeus, 1758)",Checkered Puffer
"Syacium gunteri Ginsburg, 1933",Shoal Flounder
"Syacium papillosum (Linnaeus, 1758)",Dusky Flounder
"Chaetodon melannotus Bloch & Schneider, 1801",Black-backed butterflyfish
"Chlorurus strongylocephalus (Bleeker, 1855)",Steephead parrotfish
"Schroederichthys chilensis (Guichenot, 1848)",Redspotted catshark
"Thaumeledone brevis (Hoyle, 1885)",Short-tail octopus
"Scorpaena neglecta Temminck & Schlegel, 1843",Scorpionfish
"Chaetodon unimaculatus Bloch, 1787",Butterflyfish
"Anisotremus interruptus (Gill, 1862)",Burrito grunt
"Flabellina nobilis (A.E.Verrill, 1880)",Noble Doris
"Hypoplectrus chlorurus (Cuvier, 1828)",Yellowtail Hamlet
"Pterapogon kauderni Koumans, 1933",Bangaii cardinalfish
"Sphyraena helleri Jenkins, 1901",Heller's barracuda
"Vincentia conspersa (Klunzinger, 1872)",Southern cardinalfish
"Apogon rueppellii Günther, 1859",Gobbleguts
"Parablennius tasmanianus (Richardson, 1842)",Tasmanian blenny
"Gymnothorax margaritophorus Bleeker, 1864",Pearly moray
"Genicanthus caudovittatus (Günther, 1860)",Zebra angelfish
"Centropyge ferrugata Randall & Burgess, 1972",Rusty angelfish
"Solenastrea bournoni Milne Edwards & Haime, 1849",Smooth Star Coral
"Scolymia cubensis (Milne Edwards & Haime, 1848)",Artichoke coral
"Scolymia lacera (Pallas, 1766)",Atlantic mushroom coral
"Isophyllia rigida (Dana, 1846)",Rough Star Coral
"Dichocoenia stokesii (Milne Edwards & Haime, 1849)",Pineapple coral
"Siderastrea radians (Pallas, 1766)",Lesser starlet coral
"Mycetophyllia lamarckiana Milne Edwards & Haime, 1849",Ridged cactus coral
"Mycetophyllia ferox Wells, 1973",Rough Cactus Coral
"Montastraea franksi (Gregory, 1895)",Boulder star coral
"Montastraea faveolata (Ellis & Solander, 1786)",Mountainous star coral
"Siderastrea siderea (Ellis & Solander, 1786)",Massive starlet coral
"Manicina areolata (Linnaeus, 1758)",Rose coral
"Eusmilia fastigiata (Pallas, 1766)",Smooth Flower Coral
"Rhizostoma pulmo (Macri, 1778)",Barrel jellyfish
Caulerpa prolifera (Forssk.) J.V.Lamour.,Green Caulerpa
"Montastraea cavernosa (Linnaeus, 1767)",Great Star Coral
"Echidna peli (Kaup, 1856)",Pebbletooth moray
"Chlorurus bleekeri (de Beaufort, 1940)",Bleeker's parrotfish
"Opisthoteuthis persephone S.S.Berry, 1918",Pencil squid
"Macrorhamphosodes uradoi (Kamohara, 1933)",Trumpetsnout
"Amphiprion tricinctus Schultz & Welander, 1953",Maroon Clownfish
"Pomacanthus maculosus (Forsskål, 1775)",Halfmoon angelfish
"Sphoeroides lobatus (Steindachner, 1870)",Longnose Puffer
"Siganus lineatus (Valenciennes, 1835)",Rabbitfish
"Heteractis aurora (Quoy & Gaimard, 1833)",Beaded sea anemone
"Pseudanthias bicolor (Randall, 1979)",Bicolor Anthias
"Dasyatis lata (Garman, 1880)",Brown stingray
"Gorgasia sillneri Klausewitz, 1962",Sillners' garden eel
"Ocypode quadrata (Fabricius, 1787)",Atlantic Ghost Crab
"Ectreposebastes imus Garman, 1899",Midwater scorpionfish
"Dardanus fucosus Biffar & Provenzano, 1972",Bareye hermit
"Tylosurus punctulatus (Günther, 1872)",Spotted needlefish
"Mulloidichthys flavolineatus (Lacepède, 1801)",Goatfish
"Epinephelus coeruleopunctatus (Bloch, 1790)",Blue-spotted grouper
"Strongylura exilis (Girard, 1854)",California needlefish
"Coris caudimacula (Quoy & Gaimard, 1834)",Spot-tail wrasse
"Sebastes paucispinis Ayres, 1854",Bocaccio
"Lutjanus rufolineatus (Valenciennes, 1830)",Golden-lined snapper
"Urobatis maculatus Garman, 1913",Cortez round stingray
"Diplodus noct (Valenciennes, 1830)",Arabian Pinfish
"Solocisquama stellulata (Gilbert, 1905)",Batfish
"Monodactylus argenteus (Linnaeus, 1758)",Silver batfish
"Bathyporeia elegans Watkin, 1938",Sand digger shrimp
"Siokunichthys nigrolineatus Dawson, 1983",Mushroom-coral pipefish
"Goniistius vestitus (Castelnau, 1879)",Crescent-tail bigeye
"Hippocampus denise Lourie & Randall, 2003",Denise's pygmy seahorse
Anguilla bicolor bicolor,Shortfin eel
"Leiuranus semicinctus (Lay & Bennett, 1839)",Banded snake eel
"Chlorurus cyanescens (Valenciennes, 1840)",Blue Humphead Parrotfish
"Plectorhinchus diagrammus (Linnaeus, 1758)",Clown sweetlips
"Lates calcarifer (Bloch, 1790)",Barramundi
"Chiloscyllium punctatum Müller & Henle, 1838",Brown-banded bamboo shark
"Chaetodontoplus meredithi Kuiter, 1990",Meredith's angelfish
"Parupeneus ciliatus (Lacepède, 1802)",Goatfish
"Ameiurus melas (Rafinesque, 1820)",Black bullhead
"Oplophorus spinosus (Brullé, 1839)",Spiny shrimp
"Gorgasia hawaiiensis Randall & Chess, 1980",Hawaiian garden eel
"Polyspina piosae (Whitley, 1955)",Orangebarred puffer
"Goniobranchus vibratus (Pease, 1860)",Vibrant Nudibranch
"Anampses meleagrides Valenciennes, 1840",Dotted wrasse
"Chaetodon ornatissimus Cuvier, 1831",Clown butterflyfish
"Prognathodes aya (Jordan, 1886)",Bank butterflyfish
"Leucoraja lentiginosa (Bigelow & Schroeder, 1951)",Freckled skate
"Apogon lachneri Böhlke, 1959",Whitestar Cardinalfish
"Dasyatis guttatus (Bloch & Schneider, 1801)",Longnose stingray
"Kyphosus sectator (Linnaeus, 1758)",Bermuda chub
"Cirrhipathes anguina (Dana, 1846)",Whip coral
"Pseudosynanceia melanostigma Day, 1875",Blackfin stonefish
"Chlopsis dentatus (Seale, 1917)",Mottled False Moray
"Siganus luridus (Rüppell, 1829)",Dusky spinefoot
"Chaetodon sedentarius Poey, 1860",Least butterflyfish
"Sargocentron tiereoides (Bleeker, 1853)",Pink Squirrelfish
"Palauastrea ramosa Yabe & Sugiyama, 1941",Finger coral
Scaridae,Parrotfish
"Oulastrea crispata (Lamarck, 1816)",Zebra coral
"Cephalopholis sonnerati (Valenciennes, 1828)",Bluespotted hind
Zanclidae,Moorish Idol
"Lutjanus coeruleolineatus (Rüppell, 1838)",Blueline snapper
Aulostomidae,Cornetfish
"Malacanthus plumieri (Bloch, 1786)",Sand Tilefish
Pomacentridae,Damselfishes
"Symphorichthys spilurus (Günther, 1874)",Blue-lined sea bream
Bothidae,Flounder
"Diproctacanthus xanthurus (Bleeker, 1856)",Cleaner wrasse
"Apolemichthys arcuatus (Gray, 1831)",Banded angelfish
"Cantherhines dumerilii (Hollard, 1854)",Barred Filefish
"Lutjanus goldiei (Macleay, 1882)",Papuan snapper
"Chaetodon multicinctus Garrett, 1863",Multiband butterflyfish
"Lutjanus ehrenbergii (Peters, 1869)",Blackspot snapper
Actiniaria,Sea Anemone
"Coris pictoides Randall & Kuiter, 1982",Pixie wrasse
"Fungia Lamarck, 1801",Mushroom coral
"Gymnothorax monochrous (Bleeker, 1856)",Brown moray
"Prognathodes aculeatus (Poey, 1860)",Longsnout butterflyfish
"Cantherhines pardalis (Rüppell, 1837)",Honeycomb filefish
Lutjanidae,Snapper
"Carangoides hedlandensis (Whitley, 1934)",Bumpnose trevally
"Bathyraja albomaculata (Norman, 1937)",Spotted Ray
"Chaetodon kleinii Bloch, 1790",Butterflyfish
"Bodianus bilunulatus (Lacepède, 1801)",Blackspot wrasse
"Echinaster sentus (Say, 1825)",Spiny sea star
"Sufflamen bursa (Bloch & Schneider, 1801)",Boomerang triggerfish
"Pontinus Poey, 1860",Tilefish
"Porites astreoides Lamarck, 1816",Mustard Hill Coral
"Centriscops humerosus (Richardson, 1846)",Banded bellowsfish
"Lutjanus bengalensis (Bloch, 1790)",Bengal snapper
"Oxycirrhites Bleeker, 1857",Flamefish
"Barbus mattozi Guimarães, 1884",Mattozi Barb.
"Trachinotus blochii (Lacepède, 1801)",Pompano
"Crystallaria asprella (Jordan, 1878)",Crystal Darter
"Carcharhinus porosus (Ranzani, 1839)",Bull shark
"Chilomycterus affinis Günther, 1870",Pacific burrfish
"Astropecten duplicatus Gray, 1840",Two-spined starfish
"Brissus brissus Tortonese, 1933",Sea Urchin
"Pavona maldivensis (Gardiner, 1905)",Leaf coral
"Thalassoma trilobatum (Lacepède, 1801)",Christmas wrasse
"Amphiprion latifasciatus Allen, 1972",Madagascar anemonefish
"Amphiprion chagosensis Allen, 1972",Chagos anemonefish
"Flabellina McMurtrie, 1831",McMurtrie sea slug
"Echidna nocturna (Cope, 1872)",Freckled moray
"Amphiprion fuscocaudatus Allen, 1972",Seychelles anemonefish
"Sarpa Bonaparte, 1831",Sheepshead.
"Parajulis poecilepterus (Temminck & Schlegel, 1845)",Multicolorfin rainbowfish
"Pempheris vanicolensis Cuvier, 1831",Sweeper
"Homarus Weber, 1795",Lobster
"Echinaster serpentarius Müller & Troschel, 1842",Brittle star
"Lepidochelys kempii Garman, 1880",Kemp's Ridley Sea Turtle
"Urogymnus asperrimus (Bloch & Schneider, 1801)",African ray
"Naso fageni Morrow, 1954",Horseface unicornfish
"Hoplolatilus cuniculus Randall & Dooley, 1974",Dusky Tilefish
"Phoxocampus belcheri (Kaup, 1856)",Black rock pipefish
"Scorpaenopsis cotticeps Fowler, 1938",Sculpin scorpionfish
"Pegasus volitans Linnaeus, 1758",Sea moth
"Stethojulis albovittata (Bonnaterre, 1788)",Bluelined wrasse
"Leucoraja yucatanensis (Bigelow & Schroeder, 1950)",Yucatan skate
"Fenestraja plutonia (Garman, 1881)",Pluto Skate
"Ablabys taenianotus (Cuvier, 1829)",Cockatoo waspfish
"Salarias fasciatus (Bloch, 1786)",Banded blenny
"Odontaspis noronhai (Maul, 1955)",Bigeye sand tiger
"Monacanthus tuckeri Bean, 1906",Slender Filefish
"Scarus coeruleus (Edwards, 1771)",Blue Parrotfish
"Opsanus dichrostomus Collette, 2001",Bicolor toadfish
"Hypoplectrus puella (Cuvier, 1828)",Barred Hamlet
"Myrophis punctatus Lütken, 1852",Speckled worm eel
"Variola louti (Forsskål, 1775)",Moontail seabass
"Citharichthys arctifrons Goode, 1880",Gulf Stream Flounder
"Xyrichtys splendens Castelnau, 1855",Green Razorfish
"Scorpaena guttata Girard, 1854",California scorpionfish
"Diadumene leucolena (Verrill, 1866)",Ghost Anemone
"Microspathodon chrysurus (Cuvier, 1830)",Yellowtail Damselfish
"Scomber japonicus Houttuyn, 1782",Mackerel
"Lutjanus mahogoni (Cuvier, 1828)",Mahogany Snapper
"Acentronura tentaculata Günther, 1870",Dwarf pipehorse
"Scyllarides nodifer (Stimpson, 1866)",Ridged slipper lobster
"Sphyraena chrysotaenia Klunzinger, 1884",Yellowfin barracuda
"Cirrhilabrus rubriventralis Springer & Randall, 1974",Social wrasse
"Pseudocheilinus evanidus Jordan & Evermann, 1903",Disappearing Wrasse
"Sargocentron hastatum (Cuvier, 1829)",Red soldierfish
"Cephalopholis oligosticta Randall & Ben-Tuvia, 1983",Vermilion hind
"Aluterus monoceros (Linnaeus, 1758)",Unicorn Fish
"Prionotus rubio Jordan, 1886",Blackwing Searobin
"Halichoeres cosmetus Randall & Smith, 1982",Adorned wrasse
"Naso hexacanthus (Bleeker, 1855)",Black Unicornfish
"Astropecten cingulatus Sladen, 1883",Sand dollar
"Chaetodon baronessa Cuvier, 1829",Baroness butterflyfish
"Sphoeroides trichocephalus (Cope, 1870)",Pygmy Puffer
"Aulostomus Lacepède, 1803",Trumpetfish
"Pterois sphex Jordan & Evermann, 1903",Hawaiian lionfish
"Scorpaena stephanica Cadenat, 1943",Scorpionfish
"Holacanthus africanus Cadenat, 1951",Guinean angelfish
"Urobatis concentricus Osburn & Nichols, 1916",Bull's-eye stingray
"Tursiops aduncus (Ehrenberg, 1833)",Indo-Pacific Bottlenose Dolphin
"Pseudotolithus epipercus (Bleeker, 1863)",Guinea croaker
"Rhinobatos rhinobatos (Linnaeus, 1758)",Common guitarfish
"Taeniura grabata (Geoffroy Saint-Hilaire, 1817)",Round stingray
"Megalocranchia oceanica (G.L.Voss, 1960)",Oceanic squid
"Lepophidium negropinna Hildebrand & Barton, 1949",Specklefin cusk eel
"Nototodarus hawaiiensis (S.S.Berry, 1912)",Hawaiian flying squid
"Parascorpaena mcadamsi (Fowler, 1938)",McAdam's Scorpionfish
"Pavona clavus (Dana, 1846)",Leaf coral
"Salaria fluviatilis (Asso, 1801)",River blenny
"Flabellina verrucosa (M.Sars, 1829)",Red-finger Aeolis
"Sparus Linnaeus, 1758",Sea bream
"Etmopterus virens Bigelow, Schroeder & Springer, 1953",Green lantern shark
"Linuche unguiculata (Swartz, 1788)",Thimble jellyfish
"Pecten maximus (Linnaeus, 1758)",Great Scallop
Acipenseridae,Sturgeon
"Canthigaster Swainson, 1839",Sharpnose Puffer
"Arenaeus cribrarius (Lamarck, 1818)",Speckled swimming crab
Cheloniidae,Sea Turtles
"Lagenorhynchus acutus (Gray, 1828)",Atlantic White-sided Dolphin
"Sphoeroides pachygaster (Müller & Troschel, 1848)",Blunthead Puffer
"Chilomycterus antillarum Jordan & Rutter, 1897",Web Burrfish
"Selene setapinnis (Mitchill, 1815)",Atlantic Moonfish
"Mercenaria mercenaria (Linnaeus, 1758)",Hard Clam
"Achirus lineatus (Linnaeus, 1758)",Lined Sole
"Ambloplites rupestris (Rafinesque, 1817)",Rock Bass
"Diplodus bermudensis Caldwell, 1965",Bermuda Porgy
Scorpaenidae,Scorpionfishes
"Bodianus pulchellus (Poey, 1860)",Spotfin Hogfish
"Himantura schmardae (Werner, 1904)",Caribbean whiptail stingray
"Synanceia Bloch & Schneider, 1801",Stonefish
"Sebastes nigrocinctus Ayres, 1859",Tiger rockfish
"Lepidotrigla papilio (Cuvier, 1829)",Butterfly gurnard
"Pseudoginglymostoma brevicaudatum (Günther, 1867)",Nurse shark
"Funiculina quadrangularis (Pallas, 1766)",Tall Sea Pen
"Coryphopterus personatus (Jordan & Thompson, 1905)",Masked Goby
"Persephona mediterranea (Herbst, 1794)",Mottled purse crab
"Alcyonium digitatum Linnaeus, 1758",Dead Man's Fingers
"Ophiocomina nigra (Abildgaard, 1789)",Black Brittlestar
"Scyllarides deceptor Holthuis, 1963",Hooded slipper lobster
"Callanthias ruber (Rafinesque, 1810)",Canary snapper
"Thalassoma newtoni (Osório, 1891)",Newton's wrasse
"Ginsburgellus novemlineatus (Fowler, 1950)",Nineline goby
"Gobius paganellus Linnaeus, 1758",Rock goby
"Elacatinus multifasciatus (Steindachner, 1876)",Greenbanded goby
"Sepiola Leach, 1817",Bobtail squid
"Coryphopterus glaucofraenum Gill, 1863",Bridled Goby
"Aplysilla sulfurea Schulze, 1878",Sulfur sponge
"Canthigaster smithae Allen & Randall, 1977",Bicolored Toby
"Coryphopterus eidolon Böhlke & Robins, 1960",Pallid Goby
"Plesionika antigai Zariguiey Alvarez, 1955",Catalonian Striped Shrimp
"Elacatinus oceanops Jordan, 1904",Neon goby
"Galeocharax gulo (Cope, 1870)",Dogfish
"Pasiphaea sivado (Risso, 1816)",White Glass Shrimp
"Torpedo macneilli (Whitley, 1932)",Short-tail torpedo ray
"Aiptasiogeton pellucidus (Hollard, 1848)",Glass Anemone
Antennariidae,Anglerfish
"Doryrhamphus excisus Kaup, 1856",Bluestripe Pipefish
"Cirrhitichthys oxycephalus (Bleeker, 1855)",Pixy Hawkfish
"Scyllarus depressus (S.I.Smith, 1881)",Scaled slipper lobster
"Gobionellus oceanicus (Pallas, 1770)",Highfin Goby
"Arothron immaculatus (Bloch & Schneider, 1801)",Immaculate pufferfish
"Anthopleura xanthogrammica (Brandt, 1835)",Giant green anemone
"Metridium farcimen (Tilesius, 1809)",Sea pen
"Merluccius merluccius (Linnaeus, 1758)",Atlantic hake
"Mystus gulio (Hamilton, 1822)",Long-whiskered catfish
"Sebastes caurinus Richardson, 1844",Copper rockfish
"Filicampus tigris (Castelnau, 1879)",Tiger pipefish
"Sebastes pinniger (Gill, 1864)",Canary rockfish
"Polyprion americanus (Bloch & Schneider, 1801)",Atlantic Wreckfish
"Istigobius decoratus (Herre, 1927)",Decorated goby
"Scomber scombrus Linnaeus, 1758",Mackerel
"Tetrapturus albidus Poey, 1860",Atlantic white marlin
"Calamus calamus (Valenciennes, 1830)",Goat's head porgy
"Antennarius radiosus Garman, 1896",Single spot frogfish
"Monacanthus ciliatus (Mitchill, 1818)",Fringed Filefish
"Bathyanthias mexicanus (Schultz, 1958)",Yellowtail bass
"Moenkhausia oligolepis (Günther, 1864)",Glass tetra
"Charax gibbosus (Linnaeus, 1758)",Glass headstander
"Makaira nigricans Lacepède, 1802",Blue Marlin
"Pachygrapsus transversus (Gibbes, 1850)",Mottled Shore Crab
"Istigobius spence (Smith, 1947)",Pearl goby
"Psammogobius biocellatus (Valenciennes, 1837)",Estuary goby
"Ambassis gymnocephalus (Lacepède, 1802)",Bald glassy perchlet
"Parambassis ranga (Hamilton, 1822)",Indian glassfish
"Sebastapistes cyanostigma (Bleeker, 1856)",Yellowspotted scorpionfish
"Erpetoichthys calabaricus Smith, 1865",Ropefish
"Pardachirus marmoratus (Lacepède, 1802)",Moses sole
"Solmundella bitentaculata (Quoy & Gaimard, 1833)",Two-lined Echinoderm
"Euthynnus alletteratus (Rafinesque, 1810)",Little Tuna
"Datnioides microlepis Bleeker, 1854",Finescale tigerfish
"Ogcocephalus vespertilio (Linnaeus, 1758)",Batfish
"Pseudanthias tuka (Herre & Montalban, 1927)",Purple queen
"Dasyatis marianae Gomes, Rosa & Gadig, 2000",Mariana stingray
"Hirundichthys affinis (Günther, 1866)",Flying fish
"Sepia arabica Massy, 1916",Arabian Cuttlefish
"Argonauta nouryi Lorois, 1852",Rough-keeled argonaut
"Lampsilis radiata (Gmelin, 1791)",Eastern Lampmussel
"Scomberomorus commerson (Lacepède, 1800)",Barred Spanish mackerel
"Chromis xanthura (Bleeker, 1854)",Black Chromis
"Hemiscyllium hallstromi Whitley, 1967",Papuan Epaulette Shark
"Microstomus kitt (Walbaum, 1792)",Lemon Sole
"Siganus magnificus (Burgess, 1977)",Magnificent rabbitfish
"Pogonias cromis (Linnaeus, 1766)",Black Drum
"Plectranthias sagamiensis (Katayama, 1964)",Oriental longfin snapper
"Doto maculata (Montagu, 1804)",Speckled nudibranch
"Synodus falcatus Waples & Randall, 1989",Saddleback wrasse
"Amblyeleotris steinitzi (Klausewitz, 1974)",Steinitz' prawn-goby
"Orcynopsis unicolor (Geoffroy Saint-Hilaire, 1817)",Bonito
"Scarus rivulatus Valenciennes, 1840",Rainbow Parrotfish
"Siganus javus (Linnaeus, 1766)",Bluespotted spinefoot
"Scarus hypselopterus Bleeker, 1853",Java parrotfish
"Cheilinus trilobatus Lacepède, 1801",Tropical Wrasse
"Chaetodon gardineri Norman, 1939",Gardiner's butterflyfish
"Vincentia punctata (Klunzinger, 1879)",Orange cardinalfish
"Montipora floweri Wells, 1954",Pore coral
"Diagramma labiosum Macleay, 1883",Painted sweetlips
"Agaricia grahamae Wells, 1973",Graham's sheet coral
"Porites lutea Milne Edwards & Haime, 1851",Hump coral
"Oregonia gracilis Dana, 1851",Graceful decorator crab
"Elacatinus genie (Böhlke & Robins, 1968)",Cleaner Goby
"Mugilogobius durbanensis (Barnard, 1927)",Durban goby
"Pomacentrus aquilus Allen & Randall, 1980",Dark damsel
"Tubastraea tagusensis Wells, 1982",Orange cup coral
Demospongiae,Demosponges
Caulerpa racemosa (Forssk.) J.Agardh,Green Grape Algae
"Gymnothorax mareei Poll, 1953",Spotjaw Moray
"Leptogorgia puniacea (Milne Edwards & Haime, 1857)",Sea whip
Ophiuridae,Brittle stars
Echinoidea,Sea Urchin
Sphenopidae,Sphenops
"Stenorhynchus Lamarck, 1818",Sponge Crab
"Abudefduf whitleyi Allen & Robertson, 1974",Whitley's sergeant
"Acanthurus monroviae Steindachner, 1876",Doctorfish
"Sparisoma axillare (Steindachner, 1878)",Gray parrotfish
"Gracilaria Greville, 1830",Seaweed
"Ophiothela mirabilis (Verrill, 1867)",Brittle star
"Sparisoma Swainson, 1839",Parrotfish
"Lioscorpius longiceps Günther, 1880",Slender scorpionfish
"Anisotremus taeniatus Gill, 1861",Panamic porkfish
"Gobiosoma nudum (Meek & Hildebrand, 1928)",Knobchin goby
"Enchelycore schismatorhynchus (Bleeker, 1853)",Brown moray eel
"Serranus subligarius (Cope, 1870)",Belted Sandfish
"Haemulon aurolineatum Cuvier, 1830",Gold-lined grunt
"Parablennius pilicornis (Cuvier, 1829)",Ringneck Blenny
"Panulirus White, 1847",Lobster
Monacanthidae,Filefish
"Halichoeres brasiliensis (Bloch, 1791)",Brazilian wrasse
"Hippocampus pusillus Fricke, 2004",Pygmy thorny seahorse
"Sepia plangon Gray, 1849",Striking Cuttlefish
"Jasus edwardsii (Hutton, 1875)",Southern Rock Lobster
"Cinachyrella alloclada (Uliczka, 1929)",Orange ball sponge
"Tedania ignis (Duchassaing & Michelotti, 1864)",Fire Sponge
"Thamnaconus tessellatus (Günther, 1880)",Tessellated leatherjacket
"Danio rerio (Hamilton, 1822)",Zebra danio
"Cromileptes altivelis (Valenciennes, 1828)",Barramundi cod
"Calotomus viridescens (Rüppell, 1835)",Viridescent parrotfish
"Madracis decactis (Lyman, 1859)",Ten-ray star coral
"Tandanus tandanus (Mitchell, 1838)",Eel-tail catfish
"Mussismilia hispida (Verrill, 1901)",Coral
Aglaopheniidae,Hydroid
"Echinaster brasiliensis Müller & Troschel, 1842",Brazilian sea star
"Thysanophrys chiltonae Schultz, 1966",Longsnout flathead
"Plectorhinchus polytaenia (Bleeker, 1853)",Banded sea perch
"Hypoatherina tropicalis (Whitley, 1948)",Tropical hardyhead
"Diagramma pictum (Thunberg, 1792)",Slatey-banded grouper
"Scarus spinus (Kner, 1868)",Greensnout parrotfish
"Platax boersii Bleeker, 1853",Golden spadefish
"Opistognathus rosenblatti Allen & Robertson, 1991",Bluespotted jawfish
"Opistognathus castelnaui Bleeker, 1860",Castelnau's jawfish
"Lutjanus gibbus (Forsskål, 1775)",Booger snapper
"Teretoctopus alcocki G.C.Robson, 1932",Alcock's octopus
"Parona signata (Jenyns, 1841)",Argentine queenfish
"Parupeneus multifasciatus (Quoy & Gaimard, 1825)",Banded goatfish
"Epinephelus morio (Valenciennes, 1828)",Brown Grouper
"Halicampus spinirostris (Dawson & Allen, 1981)",Spiny snout pipefish
"Pomadasys stridens (Forsskål, 1775)",Striped piggy
"Pseudanthias taeniatus (Klunzinger, 1884)",Striped anthias
"Sinularia gardineri (Pratt, 1903)",Gardiner's soft coral
"Ephippion guttifer (Bennett, 1831)",Common puffer
"Citharoides macrolepis (Gilchrist, 1904)",Twospot largescale flounder
"Centroscyllium fabricii (Reinhardt, 1825)",Black dogfish
"Scorpaenodes varipinnis Smith, 1957",Blotchfin scorpionfish
"Trigla lyra Linnaeus, 1758",Codling
"Paraplagusia bilineata (Bloch, 1787)",Double-lined tongue sole
Nephropidae,Lobster
Gastropoda,Snail
"Ictalurus furcatus (Valenciennes, 1840)",Blue Catfish
"Mullus Linnaeus, 1758",Red mullet
"Sphyraena Artedi, 1793",Barracuda
"Epinephelus Bloch, 1793",Grouper
"Lutjanus russellii (Bleeker, 1849)",Russell's snapper
Squatinidae,Angel Shark
"Diodon Linnaeus, 1758",Porcupinefish
"Balistes Linnaeus, 1758",Triggerfish
"Gymnura van Hasselt, 1823",Butterfly ray
"Chondrilla australiensis Carter, 1873",Australian sponges
"Sufflamen fraenatum (Latreille, 1804)",Bridle triggerfish
"Puerulus angulatus (Bate, 1888)",Banded Whip Lobster
"Lycenchelys paxillus (Goode & Bean, 1879)",Common wolf eel
"Eunephrops cadenasi Chace, 1939",Sculptured Lobster
"Scorpaena agassizii Goode & Bean, 1896",Longfin scorpionfish
"Uropterygius xanthopterus Bleeker, 1859",Freckleface reef-eel
"Gymnothorax pindae Smith, 1962",Pinda moray
"Chaetodon meyeri Bloch & Schneider, 1801",Meyer's butterflyfish
"Batoteuthis skolops R.E.Young & Roper, 1968",Bush-club Squid
"Gnathophis cinctus (Garman, 1899)",Conger eel
"Cestum veneris Lesueur, 1813",Venus's girdle
"Euphyllia glabrescens (Chamisso & Eysenhardt, 1821)",Joker coral
"Xanthichthys auromarginatus (Bennett, 1832)",Gilded triggerfish
"Dendrophyllia ijimai Eguchi, 1968",Ijima's dendrophyllia
"Lactarius lactarius (Bloch & Schneider, 1801)",Mushroom
"Pavona varians (Verrill, 1864)",Leaf coral
"Fungia concinna Verrill, 1864",Mushroom coral
"Coelocarteria singaporensis (Carter, 1883)",Singapore Slug
"Eudyptula minor (J.R.Forster, 1781)",Little Penguin
"Trachurus novaezelandiae Richardson, 1843",Jack mackerel
"Pomacentrus alleni Burgess, 1981",Allen's damsel
"Diplectrum radiale (Quoy & Gaimard, 1824)",Bolo
"Himantura undulata (Bleeker, 1852)",Honeycomb stingray
"Hoplostethus mediterraneus Cuvier, 1829",Mediterranean redfish
"Balaenoptera acutorostrata Lacépède, 1804",Minke Whale
"Pomacanthus navarchus (Cuvier, 1831)",Blue-girdled angelfish
"Eunicella singularis (Esper, 1791)",White sea fan
"Vir philippinensis Bruce & Svoboda, 1984",Philippine Pistol Shrimp
"Gymnothorax maderensis (Johnson, 1862)",Sharktooth Moray
"Dactyloptena peterseni (Nyström, 1887)",Starry flying gurnard
"Upeneus davidaromi Golani, 2001",Darom's goatfish
"Parapistocalamus hedigeri Roux, 1934",Hediger's Coral Snake
"Calotomus zonarchus (Jenkins, 1903)",Yellowbar parrotfish
"Solegnathus spinosissimus (Günther, 1870)",Spiny Pipehorse
"Metanephrops australiensis (Bruce, 1966)",Northwest lobster
"Gymnothorax gracilicauda Jenkins, 1903",Slendertail moray
"Citharus linguatula (Linnaeus, 1758)",Atlantic spotted flounder
"Bathyraja trachura (Gilbert, 1892)",Roughtail skate
"Parupeneus signatus (Günther, 1867)",Spotted goatfish
"Pseudione murawaiensis Page, 1985",Muraenid isopod
"Dinolestes lewini (Griffith & Smith, 1834)",Pike
"Eumetopias jubatus (Schreber, 1776)",Steller Sea Lion
"Chironex fleckeri Southcott, 1956",Box jellyfish
"Scorpaenodes littoralis (Tanaka, 1917)",Cheekspot Scorpionfish
"Bryaninops tigris Larson, 1985",Black Coral Goby
"Coregonus albula (Linnaeus, 1758)",European cisco
"Gymnothorax reevesii (Richardson, 1845)",Reeve's Moray Eel
"Dimophyes arctica (Chun, 1897)",Arctic hydroidomedusa
"Goneplax rhomboides (Linnaeus, 1758)",Angular Crab
"Cosmocampus arctus (Jenkins & Evermann, 1889)",Snubnose pipefish
Palinuridae,Spiny lobster
Chordata,Chordates
"Tautoga onitis (Linnaeus, 1758)",Tautog
Rajiformes,Rays
"Sicyonia carinata (Brünnich, 1768)",Mediterranean Rock Shrimp
"Halichoeres semicinctus (Ayres, 1859)",Rock wrasse
"Scorpaenopsis gibbosa (Bloch & Schneider, 1801)",Humpbacked scorpionfish
"Mustelus fasciatus (Garman, 1913)",Striped smooth-hound
"Serranus Cuvier, 1816",White grunt
"Dermasterias imbricata (Grube, 1857)",Leather star
